id,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
148,C,C,C,C,C,C,C,C,C,C
151,I,I,I,I,I,I,I,I,I,I
153,J,J,J,J,J,J,J,J,J,J
154,J,J,J,J,J,J,J,J,J,J
155,J,J,J,J,J,J,J,J,J,J
156,C,C,C,C,C,C,C,C,C,C
157,E,E,E,E,E,E,E,E,E,E
158,C,C,C,C,C,C,C,C,C,C
159,C,C,C,C,C,C,C,C,C,C
160,C,C,C,C,C,C,C,C,C,C
161,C,C,C,C,C,C,C,C,C,C
162,J,J,J,J,J,J,J,J,J,J
163,J,J,J,J,J,J,J,J,J,J
164,E,E,E,E,E,E,E,E,E,E
168,E,E,E,E,E,E,E,E,E,E
169,C,C,C,C,C,C,C,C,C,C
170,C,C,C,C,C,C,C,C,C,C
172,L,L,L,H,H,H,H,H,H,H
173,E,E,E,E,E,E,E,E,E,E
174,I,I,I,O,E,E,E,E,E,E
175,E,E,E,E,E,E,E,E,E,E
176,E,E,E,E,E,E,E,E,E,E
177,D,D,D,D,D,D,D,D,D,D
178,D,D,D,D,D,D,D,D,D,D
179,E,E,E,E,E,E,E,E,E,E
180,E,E,E,E,E,E,E,E,E,E
181,E,E,E,E,E,E,E,E,E,E
182,O,O,O,O,O,O,O,O,O,O
183,E,E,E,E,E,E,E,E,E,E
185,I,I,I,I,I,I,I,I,I,I
186,I,I,I,O,O,O,O,O,O,O
187,I,I,I,O,O,O,O,O,O,O
188,E,E,E,E,E,E,E,E,E,E
189,E,E,E,E,E,E,E,E,E,E
190,O,O,O,O,O,O,O,O,O,O
191,L,L,L,L,L,L,L,L,L,L
192,H,H,H,H,H,H,H,H,H,H
193,L,L,L,L,L,L,L,L,L,L
194,I,I,I,O,O,O,O,O,O,O
196,I,I,I,O,O,O,O,O,O,O
197,O,O,O,O,O,O,O,O,O,O
198,I,I,I,O,O,O,O,O,O,O
199,I,I,I,O,O,O,O,O,O,O
200,O,O,O,O,O,O,O,O,O,O
201,I,I,I,O,O,O,O,O,O,O
202,E,E,E,E,E,E,E,E,E,E
203,E,E,E,E,E,E,E,E,E,E
204,E,E,E,E,E,E,E,E,E,E
205,I,I,I,O,O,O,O,O,O,O
206,E,E,E,E,E,E,E,E,E,E
207,I,I,I,O,O,O,O,O,O,O
210,E,E,E,E,E,E,E,E,E,E
211,I,I,I,O,O,O,O,O,O,O
212,I,I,I,O,O,O,O,O,O,O
214,C,C,C,C,C,C,C,C,C,C
215,E,E,E,E,E,E,E,E,E,E
216,E,E,E,E,E,E,E,E,E,E
217,E,E,E,E,E,E,E,E,E,E
218,E,E,E,E,E,E,E,E,E,E
219,E,E,E,E,E,E,E,E,E,E
220,I,I,I,I,I,I,I,I,I,I
221,E,E,E,E,E,E,E,E,E,E
222,E,E,E,E,E,E,E,E,E,E
223,E,E,E,E,E,E,E,E,E,E
224,E,E,E,E,E,E,E,E,E,E
225,E,E,E,E,E,E,E,E,E,E
226,E,E,E,E,E,E,E,E,E,E
227,E,E,E,E,E,E,E,E,E,E
230,C,C,C,C,C,C,C,C,C,C
234,C,C,C,C,C,C,C,C,C,C
235,C,C,C,C,C,C,C,C,C,C
236,C,C,C,C,C,C,C,C,C,C
238,E,E,E,E,E,E,E,E,E,E
239,E,E,E,E,E,E,E,E,E,E
240,E,E,E,E,E,E,E,E,E,E
244,E,E,E,E,E,E,E,E,E,E
246,E,E,E,E,E,E,E,E,E,E
247,E,E,E,E,E,E,E,E,E,E
248,E,E,E,E,E,E,E,E,E,E
249,E,E,E,E,E,E,E,E,E,E
250,E,E,E,E,E,E,E,E,E,E
251,E,E,E,E,E,E,E,E,E,E
252,C,C,C,C,C,C,C,C,C,C
253,C,C,C,C,C,C,C,C,C,C
254,C,C,C,C,C,C,C,C,C,C
255,C,C,C,C,C,C,C,C,C,C
256,C,C,C,C,C,C,C,C,C,C
257,C,C,C,C,C,C,C,C,C,C
258,C,C,C,C,C,C,C,C,C,C
259,C,C,C,C,C,C,C,C,C,C
260,C,C,C,C,C,C,C,C,C,C
261,C,C,C,C,C,C,C,C,C,C
262,C,C,C,C,C,C,C,C,C,C
263,C,C,C,C,C,C,C,C,C,C
264,C,C,C,C,C,C,C,C,C,C
265,C,C,C,C,C,C,C,C,C,C
266,C,C,C,C,C,C,C,C,C,C
267,C,C,C,C,C,C,C,C,C,C
268,C,C,C,C,C,C,C,C,C,C
269,C,C,C,C,C,C,C,C,C,C
270,C,C,C,C,C,C,C,C,C,C
271,C,C,C,C,C,C,C,C,C,C
272,C,C,C,C,C,C,C,C,C,C
273,C,C,C,C,C,C,C,C,C,C
274,E,E,E,E,E,E,E,E,E,E
275,C,C,E,E,E,E,E,E,E,E
276,E,E,E,E,E,E,E,E,E,E
277,E,E,E,E,E,E,E,E,E,E
278,E,E,E,E,E,E,E,E,E,E
285,E,E,E,E,E,E,E,E,E,E
286,E,E,E,E,E,E,E,E,E,E
287,E,E,E,E,E,E,E,E,E,E
288,E,E,E,E,E,E,E,E,E,E
291,E,E,E,E,E,E,E,E,E,E
292,E,E,E,E,E,E,E,E,E,E
293,E,E,E,E,E,E,E,E,E,E
294,E,E,E,E,E,E,E,E,E,E
296,E,E,E,E,E,E,E,E,E,E
297,E,E,E,E,E,E,E,E,E,E
298,E,E,E,E,O,O,O,O,O,O
299,E,E,E,E,E,E,E,E,E,E
300,E,E,E,E,E,E,E,E,E,E
301,E,E,E,E,E,E,E,E,E,E
302,E,E,E,E,E,E,E,E,E,E
303,E,E,E,E,E,E,E,E,E,E
304,E,E,E,E,E,E,E,E,E,E
305,E,E,E,E,E,E,E,E,E,E
306,J,J,J,J,J,J,J,J,J,J
307,J,J,J,J,J,J,J,J,J,J
308,I,I,I,I,I,I,I,I,I,I
309,J,J,J,J,J,J,J,J,J,J
